text,label
How do I change my profile picture?,app_general_query
Where can I find my transaction history?,app_general_query
"The app keeps crashing on my device, what should I do?",app_general_query
How do I enable dark mode in the settings?,app_general_query
"I forgot my password, how can I reset it?",app_general_query
Can I link an external bank account to this app?,app_general_query
How do I set up fingerprint login for quicker access?,app_general_query
Where are the notification settings located?,app_general_query
How do I report a suspicious transaction on my account?,app_general_query
Can I pay my bills using this application?,app_general_query
How do I update my shipping address for card deliveries?,app_general_query
What are the security features offered by the app?,app_general_query
"How do I add a new payment method, like a debit card?",app_general_query
Where is the help section if I have more questions?,app_general_query
"I'm not receiving any push notifications, what's wrong?",app_general_query
How can I see my monthly statements?,app_general_query
Is there a way to budget my spending directly in the app?,app_general_query
How do I close my account if I no longer need it?,app_general_query
Can I send money to my friends using this app?,app_general_query
"My card was stolen, how do I freeze it immediately?",app_general_query
How do I change my registered email address?,app_general_query
What permissions does the app require on my phone?,app_general_query
How do I adjust my privacy settings?,app_general_query
Can I view my pending transactions?,app_general_query
"The app is running very slow today, is there a fix?",app_general_query
How do I verify my identity in the app for full access?,app_general_query
Where can I find the terms and conditions?,app_general_query
How do I set up recurring payments?,app_general_query
Can I customize the app's dashboard layout?,app_general_query
How do I enable two-factor authentication for better security?,app_general_query
"I can't log in, it says my account is locked.",app_general_query
How do I find the nearest ATM compatible with my card?,app_general_query
Can I get a physical debit card with this account?,app_general_query
How do I manage my subscription payments linked to the app?,app_general_query
What is the maximum amount I can send in a single transaction?,app_general_query
Where is the option to provide feedback or suggestions?,app_general_query
How do I change my language preference in the app?,app_general_query
"My balance seems incorrect, can you check it?",app_general_query
How do I export my transaction data for my records?,app_general_query
Can I split a bill with friends through the app?,app_general_query
How do I add money to my wallet balance?,app_general_query
Is there a loyalty program or rewards system?,app_general_query
How do I change my PIN for my debit card?,app_general_query
What are the fees for sending money to another user?,app_general_query
How do I delete my payment history?,app_general_query
Can I block a user from sending me money?,app_general_query
How do I update my phone number associated with the account?,app_general_query
"The app crashed during a payment, was it sent successfully?",app_general_query
Where can I see my investment portfolio within the app?,app_general_query
How do I set spending limits for my card?,app_general_query
What kind of financial reports can I generate?,app_general_query
How do I view my account number and routing number?,app_general_query
Can I use the app internationally for making payments?,app_general_query
How do I add a nickname to one of my linked accounts?,app_general_query
Is there a referral program to invite friends?,app_general_query
How do I manage my beneficiaries for transfers?,app_general_query
"My app is stuck on the loading screen, what's wrong?",app_general_query
How do I clear the cache for the app to improve performance?,app_general_query
Where can I find information about new features or updates?,app_general_query
Can I set up direct deposits to this account?,app_general_query
How do I dispute a transaction I don't recognize?,app_general_query
What are the daily transaction limits for my account?,app_general_query
How do I enable biometric authentication?,app_general_query
Where is the option to view my card details like CVV?,app_general_query
Can I temporarily disable my card if I misplace it?,app_general_query
How do I contact live chat support within the app?,app_general_query
Is there a tutorial or guide for new users?,app_general_query
How do I update the app to the latest version?,app_general_query
My linked external account is not showing up.,app_general_query
How do I set up alerts for large transactions?,app_general_query
Can I customize the categories for my spending tracking?,app_general_query
How do I send money to a non-user of the app?,app_general_query
Where can I find my routing number for direct deposits?,app_general_query
How do I view my credit score within the app?,app_general_query
The app says 'network error' but my internet connection is fine.,app_general_query
How do I get a refund for an unauthorized payment?,app_general_query
Can I schedule future payments or transfers?,app_general_query
How do I manage my recurring transfers?,app_general_query
Where is the section for managing my debit card?,app_general_query
How do I enable push notifications for specific activities?,app_general_query
Can I add multiple bank accounts to my profile?,app_general_query
How do I report a bug or glitch in the app?,app_general_query
What steps should I take if my phone is lost with the app installed?,app_general_query
How do I adjust the font size in the app for better readability?,app_general_query
Where can I see my reward points balance?,app_general_query
How do I set up a savings goal within the app?,app_general_query
Can I connect my account to Google Pay or Apple Pay?,app_general_query
How do I view my subscription history?,app_general_query
"The app crashed when I tried to log in, what's happening?",app_general_query
How do I change my display name on my profile?,app_general_query
What are the requirements for opening an account with this service?,app_general_query
"How do I block notifications from certain categories, like marketing?",app_general_query
Can I transfer money to an international bank account?,app_general_query
How do I view the app's current version number?,app_general_query
Where is the option to change my profile photo?,app_general_query
How do I get an instant notification for every transaction?,app_general_query
"My account is temporarily suspended, what happened and how do I fix it?",app_general_query
How do I find detailed information about a specific transaction?,app_general_query
Can I set up a direct debit from my account?,app_general_query
How do I leave feedback for the app developers about my experience?,app_general_query
