task_name;task_description;score;used
UnauthCardUse0;"Here is the task description for Auxiliary Task 1:

**Task Description for Auxiliary Task 1:**
Classify customer service queries that indicate an individual's payment card has been used for transactions they did not authorize or consent to, assigning the label `unauthorized_card_use`. This helps the model learn to detect fraudulent activity distinct from other billing issues.";13.2;5
currency_conversion1;"Here is the task description for Auxiliary Task 2:

---

**Auxiliary Task 2: Identify if the query involves currency exchange.**

*   **Label**: `currency_conversion_request`
*   **Purpose**: This task trains the LLM to recognize the fundamental intent of currency exchange, regardless of whether the specific mention of ""app"" is present. This strengthens its ability to correctly identify `exchange_via_app` queries by focusing on the primary action involved (converting one currency to another). It helps the model understand the core concept of currency conversion, making it more robust in classifying relevant queries even with varying phrasing.

*   **Examples**:
    *   {text: ""How do I swap my euros for dollars?"", label: ""currency_conversion_request""}
    *   {text: ""I want to change my GBP to JPY."", label: ""currency_conversion_request""}
    *   {text: ""What is the current exchange rate for different currencies?"", label: ""currency_conversion_request""}

---";14.166666666666666;6
BillingDispute2;"**Task Description for Auxiliary Task 3:**

The task is to determine if the customer's query relates to a charge on their statement or account that they find unexpected, unrecognised, or incorrect, indicating a billing discrepancy.";13.666666666666666;6
UnexplainedChargeDetection3;"**Task Description for Auxiliary Task 1: Identifying queries about unexpected charges/fees on an account.**

**Task Description:**
The goal of this auxiliary task is to identify customer queries that specifically concern an unexpected or unrecognized charge, debit, or fee appearing on their financial statement or account. The LLM should learn to recognize language indicating a customer is questioning the validity or purpose of an amount that has already been debited from their account, distinguishing these from queries about declined payments or potential fraud where the transaction may not have occurred yet or is part of a broader security concern. By training on this task, the model develops a robust understanding of the core concept of an ""unexplained charge,"" which is crucial for accurately classifying queries into the `extra_charge_on_statement` category.

**Label:** `account_charge_query`";14.25;4
FraudSecurityDetection4;"**Auxiliary Task Description for Task 2: Identifying queries related to suspected fraud or unauthorized account activity.**

**Description:** The LLM is tasked with identifying customer service queries that indicate a suspicion of fraud, unauthorized activity, security breaches, or any form of illicit access to their financial account or payment instrument (like a card). The goal is to train the model to recognize the core intent of reporting a security risk or an unapproved action, independent of specific keywords or the particular financial product mentioned. Queries that express concern about transactions they did not make, accounts being hacked, or cards being used without permission should be classified with the designated label.

**Label:** `fraud_security_concern`";14.25;4
app_feature_usage_identification5;"**Auxiliary Task: Identifying queries specifically about using the mobile application's features.**

**Task Description:**
This auxiliary task trains the LLM to identify customer service queries that are specifically asking about how to perform an action or utilize a feature *within the mobile application*. The goal is to make the model sensitive to mentions of ""app"", ""mobile application"", ""in the app"", etc., in conjunction with a desired action. This helps the LLM distinguish between general queries about a financial service and those specifically requesting instructions or confirmation on how to perform that service *using the provided application*. By learning to isolate queries focused on app functionality, the model can better differentiate categories like `exchange_via_app` from a general ""how to exchange currency"" query, which might imply other methods. The model will receive a customer query and should output the label `app_feature_usage` if the query relates to using a feature of the mobile application.";13.428571428571429;7
StatementFocus6;"Here's the task description for Auxiliary Task 1:

**Auxiliary Task 1: Identify if the query is primarily about a financial statement.**

**Task Description:**
The objective of this auxiliary task is to train the LLM to recognize when a customer's query pertains directly to their financial statement, account activity, or transaction history. This involves identifying explicit mentions of ""statement,"" ""bill,"" ""transaction list,"" or similar concepts, as well as inferring the context from questions about charges, fees, or activity that would typically appear on such a document. By mastering this, the model will develop a stronger understanding of the underlying context for queries like `extra_charge_on_statement`, helping it distinguish between a general question about a charge and one specifically tied to an item on a statement. The label `statement_focus` should be assigned to any query where the primary subject or a key piece of information being sought relates to a review or understanding of a financial statement or a similar official record of account activity.";14.25;4
fraud_activity_detection7;"**Auxiliary Task 2: Identify if the query expresses a concern about fraudulent or unauthorized activity.**

**Task Description:**
This auxiliary task requires the LLM to determine whether a given customer service query contains language that indicates potential fraudulent, unauthorized, or suspicious activity related to their account or card. The model should output the label `fraud_activity` if the query suggests someone else might be using their card or account without permission, or if they are reporting suspicious transactions. This helps the LLM recognize the core semantic meaning of security concerns, which is critical for accurately classifying queries into the `compromised_card` category. By learning to identify keywords and phrases such as ""used without my knowledge,"" ""unauthorized,"" ""fraudulent activity,"" ""don't recognize,"" ""hacked,"" or ""stolen card,"" the model can develop a robust understanding of these situations, distinguishing them from other types of account issues.";14.25;4
currency_exchange_intent8;"**Auxiliary Task 3: Task Description**

**Task Description:** For a given customer service query, determine if the primary intent expressed is related to the exchange or conversion of currencies. Assign the label `currency_exchange` if the query is about converting money from one currency to another.";15.0;4
financial_event_query9;"## Auxiliary Task 1: Identifying a query related to a specific financial *event* or *transaction record*.

### Task Description:

**Goal:** Classify customer queries that explicitly refer to or question a specific financial event, transaction, record, or entry on their account statement or history.

**Label:** `financial_event_query`

**Instructions:**
Assign the label `financial_event_query` to any customer query where the user is referring to, inquiring about, or questioning an existing or attempted financial action or record. This includes:

1.  **Specific items on a statement or transaction history:** e.g., ""charge,"" ""payment,"" ""fee,"" ""transaction,"" ""entry,"" ""debit,"" ""credit.""
2.  **Past financial actions or attempts:** e.g., a payment that occurred, a payment that failed/declined, a transfer, a received amount.
3.  **Language that directly references financial records:** e.g., ""my statement,"" ""account history,"" ""transaction log.""

This task helps the LLM distinguish queries about concrete financial occurrences from general inquiries about features, policies, or future actions.

**Examples of texts to label `financial_event_query`:**

*   `{text: ""I see a weird charge on my account history."", label: ""financial_event_query""}`
*   `{text: ""What was this debit transaction for?"", label: ""financial_event_query""}`
*   `{text: ""My card was rejected for a payment."", label: ""financial_event_query""}`
*   `{text: ""There's an unknown entry on my bank statement."", label: ""financial_event_query""}`
*   `{text: ""Did I make a payment of $5 yesterday?"", label: ""financial_event_query""}`
*   `{text: ""Why did my transfer fail?"", label: ""financial_event_query""}`
*   `{text: ""I'm looking at a pending transaction."", label: ""financial_event_query""}`

**Examples of texts *not* to label `financial_event_query` (unless they also contain the above elements):**

*   `{text: ""How do I exchange currencies in the app?"", label: ""...""}` (General feature inquiry)
*   `{text: ""Has my new card arrived yet?"", label: ""...""}` (Inquiry about card delivery status)
*   `{text: ""I need to report possible fraud."", label: ""...""}` (While often *triggered* by an event, the query itself is about the *reporting action*, not the specific event or record itself in detail. This would be better suited for `suspicious_activity_report`.)";13.666666666666666;3
suspicious_activity_report10;"Here is the task description for Auxiliary Task 2:

**Auxiliary Task 2: Identifying a query expressing *suspicion* or *unauthorized activity*.**

This auxiliary task trains the LLM to recognize when a customer's query indicates a potential security breach, fraudulent activity, or unauthorized use of their financial instruments or account. By focusing on keywords and phrases associated with suspicion, theft, or compromise, the model learns to isolate and highlight this critical aspect of a query. This is particularly beneficial for accurately classifying queries into the `compromised_card` category, as it directly teaches the model to detect fraud-related intent. It also helps in disambiguating queries in the `extra_charge_on_statement` category, allowing the model to differentiate between a charge that is merely confusing and one that is explicitly reported as suspicious or unauthorized.

*   **Label:** `suspicious_activity_report`
*   **Example Texts:**
    *   `{text: ""I think my card details have been stolen."", label: ""suspicious_activity_report""}`
    *   `{text: ""Someone is making purchases with my account."", label: ""suspicious_activity_report""}`
    *   `{text: ""How do I freeze my card if I suspect fraud?"", label: ""suspicious_activity_report""}`
    *   `{text: ""I received an alert about unusual activity."", label: ""suspicious_activity_report""}`
    *   `{text: ""My account seems to have been hacked."", label: ""suspicious_activity_report""}`";13.5;4
