text,label
I need to know the current exchange rate for USD to CAD.,1
"My account is locked, how do I reset my password?",0
There's an unexpected charge of £15.99 on my statement.,1
How do I update my contact information?,0
What are the fees associated with international transfers?,1
I can't log into the mobile app.,0
Can I get a refund for the €20 subscription I accidentally purchased?,1
Tell me about your privacy policy.,0
I see a mysterious debit of $50 on my recent transaction list.,1
"My card was declined, but I have sufficient funds.",1
What is the monthly service fee for this account?,1
How can I report a lost or stolen card?,0
I'd like to dispute a transaction amounting to 100 euros.,1
What are your branch locations and hours?,0
Is there a charge for withdrawing cash from an out-of-network ATM?,1
My internet connection is unstable.,0
I want to exchange 500 Australian dollars to Japanese Yen.,1
How do I set up direct deposit?,0
There's an extra charge on my statement I don't recognize.,1
What documents do I need to open a new account?,0
What is the interest rate on my savings account?,1
My app keeps crashing after the latest update.,0
I was charged twice for the same purchase of $25.,1
How do I view my transaction history online?,0
Can you tell me the value of 1000 GBP in USD right now?,1
I'm having trouble with my two-factor authentication.,0
I received a notification about an overdue payment of $75.,1
Where can I find information about your terms and conditions?,0
What's the cost of upgrading my premium subscription?,1
I need to report suspicious activity on my account.,0
How much does it cost to send money internationally?,1
My credit card application was denied.,0
I need to confirm a payment of 300 pesos.,1
What kind of support options do you offer?,0
Is there a minimum deposit required to open a checking account?,1
I forgot my username.,0
My recent transaction statement shows a £5 service charge.,1
How do I enable push notifications?,0
I was charged an annual fee without prior notification.,1
Can I use my debit card abroad?,0
What is the penalty for late payment of my loan?,1
My online banking portal is not loading.,0
"I want to convert my travel money, specifically 2000 USD.",1
How do I register for online statements?,0
There was a duplicate charge for a purchase costing $10.,1
I need to update my shipping address.,0
What are the current exchange rates for major currencies?,1
I received an error message 404.,0
I'm looking for information on your investment products.,0
Can I temporarily lock my credit card?,0
My statement has an entry for 'Miscellaneous Fee' of $100.,1
I need assistance with a forgotten PIN.,0
What is the maximum amount I can transfer daily?,1
How do I link an external account?,0
I want to report an unauthorized transaction of 500 yen.,1
My app isn't showing the correct balance.,1
Where can I find information about your credit card rewards program?,0
I'd like to apply for a personal loan.,0
There's a charge of 2.99 euros for an app subscription.,1
How do I close my account?,0
What are the withdrawal limits for my debit card?,1
My transaction history is incomplete.,0
I'd like to know the cost of sending a wire transfer.,1
Can you help me understand my credit score?,0
I need to dispute a charge of sixty dollars.,1
How do I add a new payee?,0
"My budget is tight, I need to know all possible fees.",1
I received a suspicious email.,0
"I want to transfer funds between my accounts, how much will it cost?",1
Can I receive text message alerts?,0
Is there a monthly maintenance fee for this account type?,1
I'm having trouble with my voice banking setup.,0
What is the exchange rate for Turkish Lira to USD?,1
My statement shows an unknown transaction.,0
I need to know if there's a charge for early loan repayment.,1
How do I report a complaint?,0
I was charged 50 pence for a transaction.,1
My online banking session timed out.,0
What's the best way to convert CHF to EUR?,1
I want to check my account activity.,0
I noticed a discrepancy of $10 in my balance.,1
Can you help me understand my monthly statement?,0
Is there a limit to how much I can send via peer-to-peer payments?,1
My mobile app isn't loading correctly.,0
"I want to apply for a small business loan of 10,000 pounds.",1
Where is the nearest ATM?,0
What are the fees associated with closing an account?,1
I'm having issues with my fingerprint login.,0
I need to understand the percentage charged for foreign transactions.,1
My card reader is not working.,0
Can I receive a credit for the erroneous charge of 5 dollars?,1
How do I manage my notifications?,0
What is the fee for an overdraft?,1
I need help understanding my investment portfolio.,0
I want to convert some euros to dollars for my trip.,1
"My payment was rejected, but I had enough money.",1
How do I update my beneficiaries?,0
What are the interest payments on my mortgage?,1
I was charged for a service I cancelled.,1
I need help with navigating the new website layout.,0
