text,label
Can I pay my bill using the mobile application?,app_functionality_query
How do I reset my password within the online portal?,app_functionality_query
Is it possible to view my transaction history in the app?,app_functionality_query
Where can I find the settings menu in the mobile banking app?,app_functionality_query
Does your app support fingerprint login?,app_functionality_query
How do I update my shipping address through the app?,app_functionality_query
Can I cancel an order using the app?,app_functionality_query
Is there a dark mode option in the application?,app_functionality_query
How do I enable push notifications for new messages in the app?,app_functionality_query
Can I transfer funds between accounts using the mobile app?,app_functionality_query
What features are available in the premium version of the app?,app_functionality_query
How do I report a lost card using the mobile app?,app_functionality_query
Is it possible to upload documents through your online portal?,app_functionality_query
How do I schedule an appointment using the app?,app_functionality_query
Can I check my loyalty points balance in the app?,app_functionality_query
Where is the live chat support feature located in the app?,app_functionality_query
Does the app allow me to customize my dashboard?,app_functionality_query
How do I add a new recipient for payments in the app?,app_functionality_query
Can I view my statements electronically through the portal?,app_functionality_query
Is there a way to track my package directly in the application?,app_functionality_query
How do I change my profile picture in the social media app?,app_functionality_query
Can I set up recurring payments using the banking app?,app_functionality_query
Does your app offer a budgeting tool?,app_functionality_query
How do I find nearby stores using the retail app?,app_functionality_query
Is it possible to split a bill with friends through the app?,app_functionality_query
Can I manage my subscriptions within the mobile application?,app_functionality_query
How do I access my digital tickets in the event app?,app_functionality_query
Does the app have an offline mode for content?,app_functionality_query
How do I apply a promo code during checkout in the app?,app_functionality_query
Can I save my favorite items to a list in the shopping app?,app_functionality_query
Is it possible to get a receipt duplicate via the online portal?,app_functionality_query
How do I link my external accounts to your financial app?,app_functionality_query
Can I renew my membership through the app?,app_functionality_query
Does the app show estimated wait times for support?,app_functionality_query
How do I manage my privacy settings in the app?,app_functionality_query
Can I request a refund using the mobile app?,app_functionality_query
Is there an option to translate text within the application?,app_functionality_query
How do I provide feedback about the app's features?,app_functionality_query
Can I view my credit score within your banking app?,app_functionality_query
Does the app integrate with smart home devices?,app_functionality_query
How do I block a user in the communication app?,app_functionality_query
Is it possible to export my data from the app?,app_functionality_query
Can I schedule a pick-up for a return item using the app?,app_functionality_query
How do I find past order details in the e-commerce app?,app_functionality_query
Does the app support multiple languages?,app_functionality_query
How do I update my notification preferences in the app?,app_functionality_query
Can I check the status of my insurance claim via the portal?,app_functionality_query
Is there a map feature to locate services in the app?,app_functionality_query
How do I bookmark an article in the reading app?,app_functionality_query
Can I share my activity progress directly from the fitness app?,app_functionality_query
What kind of analytics can I see in the business dashboard app?,app_functionality_query
How do I activate a new credit card using the app?,app_functionality_query
Is it possible to set spending limits in the banking app?,app_functionality_query
Can I chat with a representative through the app?,app_functionality_query
How do I register a new device to my account using the app?,app_functionality_query
Does the application offer voice commands?,app_functionality_query
How do I customize my workout plan in the fitness app?,app_functionality_query
Can I view my travel itinerary on the airline app?,app_functionality_query
Is there a feature to automatically categorize expenses in the app?,app_functionality_query
How do I redeem a gift card using the mobile application?,app_functionality_query
Can I change my booking details through the travel app?,app_functionality_query
Does the app display real-time stock prices?,app_functionality_query
How do I manage my beneficiaries in the investment app?,app_functionality_query
Is it possible to make international payments with your app?,app_functionality_query
Can I set up a direct debit using the online portal?,app_functionality_query
How do I adjust the font size within the app?,app_functionality_query
Does the app provide an option to delete my account?,app_functionality_query
How do I report a fraudulent transaction via the app?,app_functionality_query
Can I get a temporary card number through the banking app?,app_functionality_query
Is there a feature to save my preferences for future orders in the app?,app_functionality_query
How do I access my cloud storage files from the app?,app_functionality_query
Can I schedule a callback from customer service through the app?,app_functionality_query
Does the app offer a virtual assistant?,app_functionality_query
How do I add items to my wishlist in the shopping app?,app_functionality_query
Is it possible to view my energy consumption data in the utility app?,app_functionality_query
Can I apply for a loan directly through your mobile app?,app_functionality_query
How do I find help documentation within the app?,app_functionality_query
Does the app support QR code scanning for payments?,app_functionality_query
How do I change my profile name in the gaming app?,app_functionality_query
Can I create custom alerts in the finance app?,app_functionality_query
Is there a way to merge multiple accounts in the online portal?,app_functionality_query
How do I connect my wearable device to the health app?,app_functionality_query
Can I export my contacts from the app?,app_functionality_query
Does the app allow for document signing?,app_functionality_query
How do I find my nearest service point using the app?,app_functionality_query
Is it possible to reorder a previous purchase through the app?,app_functionality_query
Can I view the ingredients list of products in the grocery app?,app_functionality_query
How do I manage my children's profiles in the family app?,app_functionality_query
Does the app offer an incentive program?,app_functionality_query
How do I change my subscription plan using the app?,app_functionality_query
Can I receive notifications for price drops on items in the app?,app_functionality_query
Is there a feature to compare different products within the app?,app_functionality_query
How do I give access to a family member on the smart home app?,app_functionality_query
Can I customize the layout of my dashboard in the portal?,app_functionality_query
Does the app provide an option to self-diagnose issues?,app_functionality_query
How do I view my current plan details in the telecom app?,app_functionality_query
Is it possible to get a virtual consultation through the app?,app_functionality_query
Can I add a reminder for an upcoming payment in the app?,app_functionality_query
How do I check the warranty status of my product using the app?,app_functionality_query
Does the app offer an AR feature for product previews?,app_functionality_query
