text,label
Can I transfer money using this mobile application?,app_functionality_query
Does the app support international payments?,app_functionality_query
How do I update my profile in the app?,app_functionality_query
Is it possible to view my statement in the app?,app_functionality_query
What features are available on the mobile platform?,app_functionality_query
Can I send money to another bank account using this app?,app_functionality_query
Does the mobile app allow for bill payments?,app_functionality_query
How do I check my account balance within the application?,app_functionality_query
Is there a feature to view my transaction history on the app?,app_functionality_query
What kind of alerts can I set up through the mobile platform?,app_functionality_query
Can I apply for a loan directly from the app?,app_functionality_query
Does your app support biometric authentication like fingerprint login?,app_functionality_query
How can I update my contact information using the application?,app_functionality_query
Is it possible to freeze my debit card via the app if I lose it?,app_functionality_query
What features are included in the latest app update?,app_functionality_query
Can I link external bank accounts to view them in this app?,app_functionality_query
Does the mobile application offer budgeting tools?,app_functionality_query
How do I initiate an international transfer using the app?,app_functionality_query
Is it possible to schedule recurring payments through the platform?,app_functionality_query
Can I order a new credit card using the features in the app?,app_functionality_query
Does the app provide an in-app chat support option?,app_functionality_query
How do I activate a new card using the mobile application?,app_functionality_query
Is there a way to report a suspicious transaction through the app?,app_functionality_query
What are the limits for transfers made within the app?,app_functionality_query
Can I view my e-statements directly in the application?,app_functionality_query
Does the app support multiple currencies for international transactions?,app_functionality_query
How do I change my security settings within the app?,app_functionality_query
Is it possible to set up savings goals using the mobile platform?,app_functionality_query
Can I customize the dashboard view in the app?,app_functionality_query
Does the app allow me to block certain types of transactions?,app_functionality_query
How do I reset my password if I'm logged into the app?,app_functionality_query
Is there a feature to categorize my spending in the application?,app_functionality_query
What language options are available within the app?,app_functionality_query
Can I open a new account using the features provided in the app?,app_functionality_query
Does the mobile app offer investment portfolio viewing?,app_functionality_query
How do I find the nearest ATM using the app's map feature?,app_functionality_query
Is it possible to generate a tax statement from the app?,app_functionality_query
Can I pay my utility bills through this mobile application?,app_functionality_query
Does the app have a dark mode option?,app_functionality_query
How do I set up push notifications for my account activity in the app?,app_functionality_query
Is there a way to view my credit score within the application?,app_functionality_query
What are the eligibility requirements for features available on the app?,app_functionality_query
Can I add beneficiaries for transfers directly from the app?,app_functionality_query
Does the mobile app support QR code payments?,app_functionality_query
How do I manage my direct debits using the platform?,app_functionality_query
Is it possible to change my PIN for my debit card through the app?,app_functionality_query
What functionalities are restricted for new users in the app?,app_functionality_query
Can I receive real-time transaction alerts via the mobile application?,app_functionality_query
Does the app integrate with other financial planning tools?,app_functionality_query
How do I find my account number within the app?,app_functionality_query
Is there a feature to dispute a transaction using the application?,app_functionality_query
What features are available for managing my credit score in the app?,app_functionality_query
Can I share my account details securely through the app?,app_functionality_query
Does the app provide an option for contactless payments?,app_functionality_query
How do I manage my subscription payments within the application?,app_functionality_query
Is there a limit to how many accounts I can link in the app?,app_functionality_query
What security measures are built into the mobile app?,app_functionality_query
Can I request a physical statement through the app?,app_functionality_query
Does the app allow me to set daily spending limits for my card?,app_functionality_query
How do I enable two-factor authentication for my app login?,app_functionality_query
Is it possible to apply for a joint account via the mobile application?,app_functionality_query
What kind of financial advice does the app offer?,app_functionality_query
Can I block specific merchants using a feature in the app?,app_functionality_query
Does the app have a feature to split bills with friends?,app_functionality_query
How can I provide feedback about the app's features?,app_functionality_query
Is there a demo mode available on the mobile application?,app_functionality_query
Can I export my transaction data from the app?,app_functionality_query
Does the app allow me to manage multiple user profiles?,app_functionality_query
How do I get a temporary card number through the app?,app_functionality_query
Is it possible to donate to charities directly through the application?,app_functionality_query
What kind of rewards programs are accessible via the app?,app_functionality_query
Can I schedule appointments with a financial advisor using the app?,app_functionality_query
Does the mobile app provide real-time stock market data?,app_functionality_query
How do I view my current loan details in the app?,app_functionality_query
Is there a feature to calculate interest on my savings in the app?,app_functionality_query
What options does the app offer for managing my credit card?,app_functionality_query
Can I verify my identity using the app's built-in features?,app_functionality_query
Does the app support transferring funds to a mobile number?,app_functionality_query
How do I update my notification preferences in the app?,app_functionality_query
Is it possible to apply for a credit limit increase through the app?,app_functionality_query
What accessibility features are available in the mobile application?,app_functionality_query
Can I set up automatic transfers between my accounts in the app?,app_functionality_query
Does the app have a feature for tracking my spending by category?,app_functionality_query
How do I enable face ID for logging into the app?,app_functionality_query
Is there a way to manage my subscriptions directly from the application?,app_functionality_query
What types of notifications can I receive from the app?,app_functionality_query
Can I change my address directly within the app?,app_functionality_query
Can I view my beneficiaries list in the app?,app_functionality_query
How do I find the terms and conditions for using the app?,app_functionality_query
Is it possible to link my digital wallet to the app?,app_functionality_query
What features are part of the premium version of the app?,app_functionality_query
Can I convert currency using the app's built-in tool?,app_functionality_query
Does the app provide financial literacy resources?,app_functionality_query
How do I report a missing payment using the application's tools?,app_functionality_query
Is there an option to temporarily disable my card in the app?,app_functionality_query
What kind of reporting capabilities does the app offer?,app_functionality_query
Can I access my investment portfolio on the mobile app?,app_functionality_query
Does the app support voice commands for banking tasks?,app_functionality_query
How do I set up alerts for low account balances in the app?,app_functionality_query
Is it possible to manage my recurring transfers through the platform?,app_functionality_query
