text,label
I see a charge for $25.99 on my statement that I don't recognize.,unrecognized_transaction
What is this transaction from 'Global Solutions'? I didn't authorize it.,unrecognized_transaction
There's an unfamiliar debit of $19.99 on my account from 'Online Media'.,unrecognized_transaction
I didn't make this purchase at 'Fashion Outlet'.,unrecognized_transaction
Can you explain this charge from 'QuickFix Repairs'? I don't remember signing up for anything like that.,unrecognized_transaction
"My card was charged $5.00, but I have no idea what it's for.",unrecognized_transaction
This transaction on my credit card statement isn't mine.,unrecognized_transaction
I'm seeing activity on my account from 'GameZone' that I don't recognize at all.,unrecognized_transaction
Did I really spend $75.00 at 'Fancy Bistro'? It doesn't look familiar.,unrecognized_transaction
There's a recurring charge I don't recall authorizing.,unrecognized_transaction
Someone used my card for something I didn't do.,unrecognized_transaction
How did this charge from 'MysteryMerchant' appear on my statement?,unrecognized_transaction
I need to dispute a charge I don't recognize.,unrecognized_transaction
This charge for software I never bought is on my bill.,unrecognized_transaction
My account shows a payment to a company I've never heard of called 'DataFlow'.,unrecognized_transaction
Is this a legitimate charge? Because I don't remember making it.,unrecognized_transaction
I'm looking at my statement and there's a charge for $12.99 that isn't familiar.,unrecognized_transaction
Why am I being charged by 'SubscriptionPal'? I didn't subscribe.,unrecognized_transaction
This transaction simply isn't something I initiated.,unrecognized_transaction
Can you block this unknown transaction from 'WebHosting.com'?,unrecognized_transaction
I've got a charge here from 'RandomApps' and I don't know what it is.,unrecognized_transaction
"My bank statement has an item I can't explain, for $45.00.",unrecognized_transaction
"Help, there's a charge on my card I didn't make! ",unrecognized_transaction
What's this $50 charge from 'Global Payments'? I don't recognize it.,unrecognized_transaction
I need to report an unauthorized transaction.,unrecognized_transaction
I don't understand this charge from 'CommuniLink'.,unrecognized_transaction
There's a charge for $8.00 at 'Local Cafe' but I wasn't there.,unrecognized_transaction
This card activity for $30.00 is completely unfamiliar.,unrecognized_transaction
I didn't purchase anything from 'ShopAway.net'.,unrecognized_transaction
What is this $10.99 charge from 'Premium Content'? I have no idea.,unrecognized_transaction
My statement shows a transaction I do not recognize.,unrecognized_transaction
Can you tell me about a charge from 'Service Hub' on [date]? I don't recall it.,unrecognized_transaction
This $20 charge from 'EasyGames' wasn't authorized by me.,unrecognized_transaction
I'm concerned about an unfamiliar transaction on my account.,unrecognized_transaction
"I've never heard of 'Zippy Delivery', why am they charging me $15?",unrecognized_transaction
There's an unexpected charge on my card for $4.99.,unrecognized_transaction
"This transaction for $60.00 to 'HealthPlus' is a mistake, I didn't make it.",unrecognized_transaction
My statement has a charge from an unknown merchant.,unrecognized_transaction
I need to investigate a charge I don't remember approving.,unrecognized_transaction
I dispute this transaction from 'CloudStorage Co.' for $9.99.,unrecognized_transaction
There's a payment to 'TravelBuddy' that I didn't make.,unrecognized_transaction
What's this unknown charge on my debit card?,unrecognized_transaction
I don't recognize the merchant for this $3.50 transaction.,unrecognized_transaction
This charge from 'GadgetMart' isn't something I bought.,unrecognized_transaction
Can you look into this $120 charge? It looks fraudulent.,unrecognized_transaction
I'm seeing charges on my card that don't belong to me.,unrecognized_transaction
Someone has made a purchase on my account I didn't authorize.,unrecognized_transaction
This transaction from 'Music Stream' is not familiar to me.,unrecognized_transaction
I need help with an unexplained charge of $7.99.,unrecognized_transaction
My credit card shows activity I did not initiate.,unrecognized_transaction
I have a charge for $2.99 from 'AppWorld' that I don't recall.,unrecognized_transaction
This is an unauthorized use of my card for $250.00.,unrecognized_transaction
I don't know what this $5.50 transaction from 'Snack Stop' is.,unrecognized_transaction
There's a strange charge on my statement from 'Digital Downloads'.,unrecognized_transaction
I did not make this purchase at 'Pet Supplies Co.'.,unrecognized_transaction
What's this $14.99 charge for 'Premium VPN'? I didn't sign up.,unrecognized_transaction
My account has an unknown charge from 'FlexiGym'.,unrecognized_transaction
Can you investigate this $35 charge from 'Bookworm's Den'? I don't recognize it.,unrecognized_transaction
This transaction from 'HomeDecor Online' is not mine.,unrecognized_transaction
I need to report an unfamiliar charge on my card for $100.00.,unrecognized_transaction
I'm disputing a charge I never made.,unrecognized_transaction
There's a $6.99 charge from 'Kids Games' that I don't understand.,unrecognized_transaction
My bank statement has a mystery charge.,unrecognized_transaction
This charge for $40.00 at 'Local Hardware' is not something I remember.,unrecognized_transaction
I have no knowledge of this transaction from 'Crafty Corner'.,unrecognized_transaction
Why am I being billed by 'Daily News' for $1.99? I didn't subscribe.,unrecognized_transaction
"This charge is not authorized, I didn't make it.",unrecognized_transaction
What is this $22.00 charge on my account? It's unfamiliar.,unrecognized_transaction
I'm concerned about an unknown transaction on my statement.,unrecognized_transaction
I see an unfamiliar activity on my card for $88.00.,unrecognized_transaction
"This transaction for $500.00 looks like fraud, I didn't make it.",unrecognized_transaction
My card was used for a purchase I did not make.,unrecognized_transaction
I need to understand this unknown charge of $11.11.,unrecognized_transaction
There's a charge from 'Bright Ideas' I don't recognize on my credit card.,unrecognized_transaction
This transaction on my account isn't familiar to me.,unrecognized_transaction
I don't recall authorizing any payment to 'FitLife Coaching'.,unrecognized_transaction
Can you tell me about this $17.50 charge from 'Quick Eats'?,unrecognized_transaction
I'm questioning a transaction for $20.00 that I don't remember.,unrecognized_transaction
My statement shows an activity I'm not familiar with.,unrecognized_transaction
What's this charge for $3.00 from 'Parking Meter'?,unrecognized_transaction
I need to dispute a charge I didn't initiate.,unrecognized_transaction
There's a charge from 'Office Supplies' for $65.00 that I don't recognize.,unrecognized_transaction
This transaction is a complete mystery to me.,unrecognized_transaction
My card was charged by a merchant I don't know.,unrecognized_transaction
I don't recognize this $9.99 subscription from 'Zen Meditations'.,unrecognized_transaction
Why is there a charge from 'Home Repair Inc.' on my statement? I didn't use them.,unrecognized_transaction
This $200.00 transaction on my account is unauthorized.,unrecognized_transaction
Can you find out what this charge from 'Artistic Crafts' is for? I don't know it.,unrecognized_transaction
I'm seeing a purchase on my statement that I didn't make.,unrecognized_transaction
There's a charge from 'Tech Support Co.' that I did not approve.,unrecognized_transaction
I need to clarify an unfamiliar charge of $70.00.,unrecognized_transaction
My statement shows a transaction I'm pretty sure isn't mine.,unrecognized_transaction
What's this $4.00 charge from 'Coffee Bean'?,unrecognized_transaction
I didn't authorize this payment to 'Smart Home Devices'.,unrecognized_transaction
This transaction from 'Express Cleaners' is not recognized.,unrecognized_transaction
I have an inquiry about an unknown charge on my card.,unrecognized_transaction
There's a debit from 'Software Solutions' I don't recall.,unrecognized_transaction
My card has an unexpected charge for $1.00.,unrecognized_transaction
I don't understand how this charge from 'Green Grocer' got on my statement.,unrecognized_transaction
This activity on my account looks suspicious and I don't recognize it.,unrecognized_transaction
