text,label
I noticed a transaction on my credit card statement that I definitely didn't make.,fraud_security_concern
My bank account shows a withdrawal I don't recognize. Is this fraud?,fraud_security_concern
Someone used my debit card number for online purchases without my permission.,fraud_security_concern
I believe my online banking account has been compromised.,fraud_security_concern
There's an unknown charge of $50 on my recent statement. I need to dispute it.,fraud_security_concern
"I received an alert for a login from a new device, but it wasn't me.",fraud_security_concern
"My credit card was stolen, and there are now multiple unauthorized transactions.",fraud_security_concern
"I can't access my account, and I suspect someone else changed my password.",fraud_security_concern
These payments weren't authorized by me. What should I do?,fraud_security_concern
I think someone might be trying to open an account using my identity.,fraud_security_concern
I got a suspicious text message asking for my banking details.,fraud_security_concern
My balance is lower than it should be due to unapproved transactions.,fraud_security_concern
Someone has accessed my financial information without my consent.,fraud_security_concern
I need to report fraudulent activity on my checking account.,fraud_security_concern
A purchase appeared on my statement from a merchant I've never heard of.,fraud_security_concern
I'm concerned about the security of my personal financial data after a data breach elsewhere.,fraud_security_concern
There's a recurring charge I didn't set up on my card.,fraud_security_concern
"My debit card was lost, and now there are charges I didn't make.",fraud_security_concern
I suspect someone is using my account to make transfers.,fraud_security_concern
I received an email about a large transfer I didn't initiate.,fraud_security_concern
My payment instrument shows charges from an unknown source.,fraud_security_concern
I'm worried my account login details have been stolen.,fraud_security_concern
A transaction was processed today that I did not authorize.,fraud_security_concern
I believe there's unauthorized access to my investment account.,fraud_security_concern
Someone is attempting to make fraudulent purchases with my card.,fraud_security_concern
I need help with a potential security breach on my account.,fraud_security_concern
My card details were used for an online purchase I didn't make.,fraud_security_concern
There are several unusual activities on my credit card statement.,fraud_security_concern
I want to report a scam where someone tried to get my bank info.,fraud_security_concern
I see a transfer out of my savings account that I didn't approve.,fraud_security_concern
Is it possible my account has been hacked? I noticed some strange things.,fraud_security_concern
"My identity might have been compromised, and I'm worried about new accounts being opened.",fraud_security_concern
"I received a notification about an address change on my profile, but I didn't do it.",fraud_security_concern
"Unauthorized charges are appearing on my account, please help.",fraud_security_concern
My card was used in a different country without my knowledge.,fraud_security_concern
I need to stop unauthorized payments from my bank account.,fraud_security_concern
Someone gained access to my account without my permission.,fraud_security_concern
I'm reporting suspicious online activity related to my finances.,fraud_security_concern
There's a charge on my bank statement that is absolutely not mine.,fraud_security_concern
I suspect my credit card number has been stolen and is being used.,fraud_security_concern
I'm calling about unauthorized debits from my account.,fraud_security_concern
"My security information might have been leaked, how do I secure my account?",fraud_security_concern
I need assistance because I think someone is using my identity for financial gain.,fraud_security_concern
