text,label
I want to see my latest bank statement.,financial_document_reference
Can I view my recent account activity?,financial_document_reference
Where is my billing summary for last month?,financial_document_reference
Check my transaction history please.,financial_document_reference
Could you show me my credit card statement from May?,financial_document_reference
I need to review my account's recent transactions.,financial_document_reference
Can I get a copy of my utility bill?,financial_document_reference
Please provide my spending report for the last quarter.,financial_document_reference
Where can I find my detailed transaction log?,financial_document_reference
I'd like to see all payments made this month.,financial_document_reference
Access my financial statements from last year.,financial_document_reference
Can you pull up my deposit history?,financial_document_reference
Show me my current account balance and recent movements.,financial_document_reference
I need to look at my investment account statement.,financial_document_reference
Where is the summary of my purchases for the past 60 days?,financial_document_reference
Can I download my monthly financial report?,financial_document_reference
Please give me an overview of my recent debits.,financial_document_reference
I want to check my account ledger.,financial_document_reference
Could you generate a statement for my savings account?,financial_document_reference
Show me the transactions from my checking account.,financial_document_reference
I need to see my full transaction list since January.,financial_document_reference
Can you provide a breakdown of my last bill?,financial_document_reference
Where can I view my pending transactions?,financial_document_reference
I'm looking for my annual financial summary.,financial_document_reference
Please send me my latest credit card activity statement.,financial_document_reference
Can you confirm my last payment by showing me the record?,financial_document_reference
"I need to reconcile my account, where can I find the statement?",financial_document_reference
Show me my direct debits from the past three months.,financial_document_reference
Where can I access my past invoices?,financial_document_reference
I'd like to see a summary of my credit usage.,financial_document_reference
Can I get a historical view of my account?,financial_document_reference
Please display my most recent account movements.,financial_document_reference
I need to check details from my November statement.,financial_document_reference
Show me all transactions related to my mortgage.,financial_document_reference
Where can I print my current month's statement?,financial_document_reference
Can you provide a list of my recent withdrawals?,financial_document_reference
I want to review my account activity for March.,financial_document_reference
Please generate a summary of my account's financial inflows.,financial_document_reference
I need to find a specific transaction from last week.,financial_document_reference
Show me the statement for my business account.,financial_document_reference
Can I see a report of my spending categories?,financial_document_reference
Where are my past billing statements?,financial_document_reference
I'd like to view my account history for the last year.,financial_document_reference
Please give me a detailed report of my account usage.,financial_document_reference
I need to verify some charges on my latest statement.,financial_document_reference
Show me the record of my last five payments.,financial_document_reference
Can you send me a copy of my current statement?,financial_document_reference
Where can I find my credit report?,financial_document_reference
I want to see my balance sheet for the quarter.,financial_document_reference
Please provide an export of my transaction data.,financial_document_reference
I need to access my bank records from two years ago.,financial_document_reference
Show me my financial overview for tax purposes.,financial_document_reference
Can I get a report on my recurring payments?,financial_document_reference
Where is my latest credit account summary?,financial_document_reference
I'd like to view my pending credits.,financial_document_reference
Please display my account's activity log.,financial_document_reference
I need to see details of my last payment to you.,financial_document_reference
Show me my transaction history for my joint account.,financial_document_reference
Can you provide a summary of my financial ins and outs?,financial_document_reference
Where can I find my expense report?,financial_document_reference
I want to review my checking account statement from last period.,financial_document_reference
Please generate a comprehensive financial summary.,financial_document_reference
I need to check the details of a specific debit.,financial_document_reference
Show me my budget tracking report.,financial_document_reference
Can I get a printout of my account statements?,financial_document_reference
Where are my past transaction summaries stored?,financial_document_reference
I'd like to view my savings account activity.,financial_document_reference
Please send me my monthly financial report via email.,financial_document_reference
I need to look up a transfer I made last week.,financial_document_reference
Show me my account balance fluctuations over time.,financial_document_reference
Can you give me a list of all deposits this year?,financial_document_reference
Where can I get a record of my payments to vendors?,financial_document_reference
I want to see my annual income and expenditure statement.,financial_document_reference
Please provide me with a breakdown of my credit card spending.,financial_document_reference
I need to access my previous statements for tax filing.,financial_document_reference
Show me the last three months of my financial activity.,financial_document_reference
Can you pull up my historical account data?,financial_document_reference
Where is my latest financial overview?,financial_document_reference
I'd like to get a receipt for my recent payment.,financial_document_reference
Please show me all the transactions from yesterday.,financial_document_reference
I need to verify a charge listed on my statement.,financial_document_reference
Show me my account statement for the current billing cycle.,financial_document_reference
Can you provide a list of all successful transactions?,financial_document_reference
Where can I find a summary of my account balance history?,financial_document_reference
I want to see my previous year's bank statements.,financial_document_reference
Please generate a report of all my outgoing payments.,financial_document_reference
I need to review my financial transactions for auditing.,financial_document_reference
Show me a detailed breakdown of my monthly expenses.,financial_document_reference
Can you access my account log for the last 90 days?,financial_document_reference
Where are the records of my international transfers?,financial_document_reference
I'd like to see an itemized list of charges on my bill.,financial_document_reference
Please provide my full payment history.,financial_document_reference
I need to check my account for any unauthorized activity.,financial_document_reference
Show me a summary of my card transactions.,financial_document_reference
Can you display my balance statement?,financial_document_reference
Where can I get a copy of my investment portfolio statement?,financial_document_reference
I want to see my last several deposits.,financial_document_reference
Please generate a report of my account's financial activity.,financial_document_reference
I need to find the details of a specific payment.,financial_document_reference
Show me my account summary for the last six months.,financial_document_reference
Can you provide a full list of my account statements?,financial_document_reference
Where are my historical financial records?,financial_document_reference
