task_name;task_description;score;used
currency_conversion1;"Here is the task description for Auxiliary Task 2:

---

**Auxiliary Task 2: Identify if the query involves currency exchange.**

*   **Label**: `currency_conversion_request`
*   **Purpose**: This task trains the LLM to recognize the fundamental intent of currency exchange, regardless of whether the specific mention of ""app"" is present. This strengthens its ability to correctly identify `exchange_via_app` queries by focusing on the primary action involved (converting one currency to another). It helps the model understand the core concept of currency conversion, making it more robust in classifying relevant queries even with varying phrasing.

*   **Examples**:
    *   {text: ""How do I swap my euros for dollars?"", label: ""currency_conversion_request""}
    *   {text: ""I want to change my GBP to JPY."", label: ""currency_conversion_request""}
    *   {text: ""What is the current exchange rate for different currencies?"", label: ""currency_conversion_request""}

---";14.166666666666666;6
UnexplainedChargeDetection3;"**Task Description for Auxiliary Task 1: Identifying queries about unexpected charges/fees on an account.**

**Task Description:**
The goal of this auxiliary task is to identify customer queries that specifically concern an unexpected or unrecognized charge, debit, or fee appearing on their financial statement or account. The LLM should learn to recognize language indicating a customer is questioning the validity or purpose of an amount that has already been debited from their account, distinguishing these from queries about declined payments or potential fraud where the transaction may not have occurred yet or is part of a broader security concern. By training on this task, the model develops a robust understanding of the core concept of an ""unexplained charge,"" which is crucial for accurately classifying queries into the `extra_charge_on_statement` category.

**Label:** `account_charge_query`";14.25;4
FraudSecurityDetection4;"**Auxiliary Task Description for Task 2: Identifying queries related to suspected fraud or unauthorized account activity.**

**Description:** The LLM is tasked with identifying customer service queries that indicate a suspicion of fraud, unauthorized activity, security breaches, or any form of illicit access to their financial account or payment instrument (like a card). The goal is to train the model to recognize the core intent of reporting a security risk or an unapproved action, independent of specific keywords or the particular financial product mentioned. Queries that express concern about transactions they did not make, accounts being hacked, or cards being used without permission should be classified with the designated label.

**Label:** `fraud_security_concern`";14.25;4
StatementFocus6;"Here's the task description for Auxiliary Task 1:

**Auxiliary Task 1: Identify if the query is primarily about a financial statement.**

**Task Description:**
The objective of this auxiliary task is to train the LLM to recognize when a customer's query pertains directly to their financial statement, account activity, or transaction history. This involves identifying explicit mentions of ""statement,"" ""bill,"" ""transaction list,"" or similar concepts, as well as inferring the context from questions about charges, fees, or activity that would typically appear on such a document. By mastering this, the model will develop a stronger understanding of the underlying context for queries like `extra_charge_on_statement`, helping it distinguish between a general question about a charge and one specifically tied to an item on a statement. The label `statement_focus` should be assigned to any query where the primary subject or a key piece of information being sought relates to a review or understanding of a financial statement or a similar official record of account activity.";14.25;4
fraud_activity_detection7;"**Auxiliary Task 2: Identify if the query expresses a concern about fraudulent or unauthorized activity.**

**Task Description:**
This auxiliary task requires the LLM to determine whether a given customer service query contains language that indicates potential fraudulent, unauthorized, or suspicious activity related to their account or card. The model should output the label `fraud_activity` if the query suggests someone else might be using their card or account without permission, or if they are reporting suspicious transactions. This helps the LLM recognize the core semantic meaning of security concerns, which is critical for accurately classifying queries into the `compromised_card` category. By learning to identify keywords and phrases such as ""used without my knowledge,"" ""unauthorized,"" ""fraudulent activity,"" ""don't recognize,"" ""hacked,"" or ""stolen card,"" the model can develop a robust understanding of these situations, distinguishing them from other types of account issues.";14.25;4
currency_exchange_query11;"**Auxiliary Task 3: Identifying a query related to *currency conversion* or *exchange features*.**

This task focuses the LLM on understanding the vocabulary and intent around currency exchange, international money, and specific app functionalities for conversion. This is highly beneficial for accurately classifying queries into the `exchange_via_app` category by training the model to recognize phrases and concepts directly tied to converting between different currencies.

*   **Label:** `currency_feature_query`
*   **Example Texts:**
    *   `{text: ""I want to change my account's base currency."", label: ""currency_feature_query""}`
    *   `{text: ""Does the app offer real-time exchange rates?"", label: ""currency_feature_query""}`
    *   `{text: ""Can I convert my EUR balance to JPY?"", label: ""currency_feature_query""}`
    *   `{text: ""How do I swap currencies within the application?"", label: ""currency_feature_query""}`
    *   `{text: ""I need to send money abroad in a different currency."", label: ""currency_feature_query""}`";14.857142857142858;7
`app_feature_query`14;"**Auxiliary Task 3: Detect queries about app functionality**
This task helps the LLM distinguish queries that specifically ask about the capabilities or features of the application. This is highly relevant for `exchange_via_app` and other app-specific questions, ensuring the model correctly identifies when a user is inquiring about what the application *can do*.

*   `{text: ""Can I transfer money using this mobile application?"", label: ""app_functionality_query""}`
*   `{text: ""Does the app support international payments?"", label: ""app_functionality_query""}`
*   `{text: ""How do I update my profile in the app?"", label: ""app_functionality_query""}`
*   `{text: ""Is it possible to view my statement in the app?"", label: ""app_functionality_query""}`
*   `{text: ""What features are available on the mobile platform?"", label: ""app_functionality_query""}`";14.3;10
card_account_mention15;"**Task Description for Auxiliary Task 1: Detect explicit mentions of a financial `Card` or `Account`**

*   **Objective:** The primary goal of this auxiliary task is to identify whether a customer's query contains an explicit, direct reference to their personal financial `card` (such as a debit card, credit card, or prepaid card) or their `financial account` (including bank accounts, statements, transaction history, or current balance).

*   **Label to Assign:** `mentions_card_account`

*   **When to Apply the Label:**
    *   Assign the label `mentions_card_account` if the query explicitly names or clearly refers to the customer's *own* financial card or account.
    *   Look for keywords and phrases such as:
        *   **For Cards:** ""card"", ""my card"", ""debit card"", ""credit card"", ""my plastic"" (if the context clearly indicates a physical card).
        *   **For Accounts/Statements:** ""account"", ""my account"", ""statement"", ""my statement"", ""transaction"", ""my transactions"", ""balance"", ""my balance"", ""funds"" (when referring to money held in their personal account).
    *   The mention should be a direct reference to the entity itself, not merely imply a financial context without explicitly naming the card or account.

*   **Why This Task Is Helpful:** This task helps the LLM develop a foundational understanding of when a query is grounded in a specific financial instrument or record. This understanding is critical for distinguishing queries related to `extra_charge_on_statement` and `compromised_card`, where the card or account is the central subject, from other types of queries.

*   **Examples:**
    *   `{text: ""Somebody used my card without my knowledge!"", label: ""mentions_card_account""}` (Explicitly mentions ""my card"")
    *   `{text: ""There's an extra fee on my statement, why is that?"", label: ""mentions_card_account""}` (Explicitly mentions ""my statement"", which relates to an account)
    *   `{text: ""How do I report possible fraudulent activity on my account?"", label: ""mentions_card_account""}` (Explicitly mentions ""my account"")
    *   `{text: ""Why i'm I being charged an extra pound"", label: ""mentions_card_account""}` (Implies a charge to an account/card, often followed by ""on my statement"" or ""on my card"")";14.4;5
query_discrepancy16;"Okay, here is the task description for Auxiliary Task 2:

---

**Auxiliary Task 2: Identify queries expressing `Surprise`, `Confusion`, or `Discrepancy` about a past financial event.**

*   **Task Description:** This task aims to identify customer service queries where the user expresses surprise, confusion, or flags a discrepancy related to a past financial transaction, charge, or their account statement. The core sentiment is one of not understanding, not recognizing, or questioning the validity/reason for a specific financial occurrence that has already happened.

*   **Reasoning:** The `extra_charge_on_statement` category is heavily characterized by users noticing something unexpected on their statement and seeking clarification or an explanation. By training the LLM to recognize this specific pattern of ""querying a discrepancy,"" it can better distinguish these types of queries from others, such as reporting a proactive fraudulent activity (`compromised_card`) or asking for how-to instructions (`exchange_via_app`). This task helps the model capture the underlying user intent of *investigating an unexpected financial event*.

*   **Label:** `query_discrepancy`

*   **Example texts from customers:**
    *   `{text: ""There's an extra fee on my statement, why is that?"", label: ""query_discrepancy""}`
    *   `{text: ""Why i'm I being charged an extra pound"", label: ""query_discrepancy""}`
    *   `{text: ""I don't recognize a recent transaction on my account statement."", label: ""query_discrepancy""}`
    *   `{text: ""What was the $1 charge for on my statement?"", label: ""query_discrepancy""}`";14.2;5
app_how_to_query17;"**Auxiliary Task 3 Description:**

**Task Name:** Identify queries about using a digital application or service.

**Objective:** This auxiliary task aims to train the LLM to recognize when a customer's query is a ""how-to"" question specifically directed at understanding or performing an action within a digital application (like a mobile app) or a digital service.

**Why it's helpful:**
The `exchange_via_app` category is fundamentally a ""how-to"" question about using the application's currency exchange feature. By explicitly training the model to detect `app_how_to_query`, it learns to identify the instructional nature of such queries and their focus on digital tools. This helps differentiate them from queries about account discrepancies (`extra_charge_on_statement`) or security concerns (`compromised_card`), which typically aren't instructional in nature regarding app usage. It helps the model capture the intent and scope (app-specific functionality) of these types of questions more robustly.

**Label:** `app_how_to_query`";15.0;6
