text,label
Why was I charged $25 on my statement for a service I didn't use last Tuesday?,True
My credit card payment to Netflix was declined yesterday evening.,True
"I see an unfamiliar debit of $75 from my checking account, can you explain this?",True
Can you help me understand this credit for $40 on October 15th from 'Online Retailer'?,True
"I never made this purchase at 'Grocery Store' for $115, it must be fraud.",True
My refund from the electronics store hasn't appeared on my statement yet.,True
Is there a foreign transaction fee for using my card in Canada?,True
My card was charged twice for the same coffee order this morning.,True
"I tried to transfer money to my savings account, but the transaction failed.",True
What's the status of my recent ATM withdrawal from last night?,True
Why is there an extra charge of $10 on my last month's statement?,True
My direct deposit from my employer didn't show up in my account today.,True
I need help understanding a specific transaction listed on my online statement from November 1st.,True
Did my bill payment to the utility company go through successfully on the 22nd?,True
I received an alert about a suspicious transaction of $200 from an unknown merchant.,True
When will my new credit card arrive in the mail?,False
How do I change my mailing address within the mobile banking app?,False
"I can't log into my online banking account, I keep getting an error message.",False
What are the benefits and rewards associated with the platinum credit card?,False
How do I reset my password for my online account?,False
Can I activate my new debit card through the mobile application?,False
What are your customer service operating hours during the holidays?,False
Where can I find the nearest ATM that accepts my card?,False
How do I report my credit card lost or stolen?,False
Tell me more about the different types of savings accounts you offer.,False
My banking app keeps crashing every time I try to open it.,False
How do I update my phone number on file with the bank?,False
Can I customize the design of my debit card?,False
What is the current interest rate for a personal loan?,False
I need to set up a new recurring monthly payment for my rent.,False
There's an unauthorized charge of $19.99 on my statement from 'App Store'.,True
"My rent payment processed on the 1st of the month seems incorrect, can you check it?",True
"I deposited a check yesterday, but it's not showing in my available balance yet.",True
Why was my card declined when I tried to buy groceries this morning?,True
I'm looking for a specific payment made to 'Utility Company' on May 3rd.,True
My balance doesn't reflect the recent payment I made to my credit card account.,True
Is there a monthly maintenance fee for my checking account?,True
I noticed a duplicate transaction for $50 at 'Gas Station' on my account.,True
Can you investigate a charge from 'Online Service' for $9.99 I don't recognize?,True
"I transferred money to another bank, but it hasn't arrived there yet.",True
My card was blocked after I made a large purchase online.,True
"I received an email about a pending charge, can you confirm it?",True
There's a charge on my statement I'd like to dispute.,True
I want to know the details of a withdrawal made at a different city last week.,True
"My account shows an overdraft fee, but I had enough funds.",True
What's the best way to manage my budget with your app?,False
How do I enroll in paperless statements?,False
I need information about travel insurance benefits with my card.,False
Can I get a temporary card while I wait for my new one?,False
What are the requirements for opening a joint bank account?,False
How do I add a trusted device to my online banking login?,False
I forgot my username for the mobile app.,False
What's the process for getting a mortgage with your bank?,False
Can I block certain types of merchants from charging my card?,False
How do I sign up for text alerts for my account?,False
I'm having trouble linking my external accounts to your app.,False
What security measures does your bank have in place?,False
How do I increase my credit limit?,False
Can I get a virtual card number for online shopping?,False
"I'm trying to send money to a friend via Zelle, but it's not working.",True
There's a recurring charge of $9.99 from a streaming service I cancelled.,True
"My recent debit card purchase at the pharmacy was cancelled, but the money is still gone.",True
Can you tell me about the last five transactions on my checking account?,True
I received an SMS about a large payment being made from my account.,True
Why was I charged an ATM fee for withdrawing cash at one of your machines?,True
The payment for my car loan did not go through on its scheduled date.,True
I'm trying to understand a specific credit that shows up as 'Misc. Adj.' on my statement.,True
Someone used my card details for an online purchase of $80 without my permission.,True
My account balance is lower than it should be after a recent purchase.,True
I need to confirm if a wire transfer I sent last week was successful.,True
There's a small charge from a restaurant in a city I haven't visited.,True
My bill payment system shows a pending charge from my credit card.,True
Can I get a detailed breakdown of all charges for the month of July?,True
"I was promised a cash back credit for opening my account, but I don't see it.",True
What's the minimum balance requirement for this account type?,False
How can I set up travel notifications for my card?,False
I need help understanding my credit score.,False
Can I change my PIN for my debit card through the app?,False
What types of investments do you offer?,False
How do I report an issue with the mobile app's interface?,False
"I want to apply for a new credit card, what are my options?",False
What documents do I need to open a business account?,False
How do I set up direct deposit for my paycheck?,False
Can I get a replacement card if mine is damaged?,False
I'm locked out of my online banking account.,False
What are the interest rates on your mortgage products?,False
How do I contact a financial advisor?,False
Can I pause my credit card account temporarily?,False
There's an annual fee showing up on my credit card statement.,True
"I received a notification about a pending credit to my account, what is it for?",True
My cash advance from last week has a high fee associated with it.,True
"The merchant charged me incorrectly for my purchase, can you help dispute it?",True
My payroll direct deposit was for the wrong amount.,True
"I'm seeing multiple small, unknown charges on my account, should I be worried?",True
Why was there a late payment fee on my credit card statement when I paid on time?,True
Did my online purchase from 'Etsy' go through on November 20th?,True
I need a record of all my outgoing transfers for tax purposes.,True
My balance doesn't reflect the recent check deposit I made.,True
Is there a charge for replacing a lost debit card?,True
I got an SMS about an unrecognized international transaction.,True
Can you void a payment I just made by mistake?,True
I need details on a specific debit transaction from two months ago.,True
Why did my credit card payment not reduce my statement balance as expected?,True
How do I link my PayPal account to my bank account?,False
What are the benefits of setting up direct deposit?,False
I need help understanding the terms and conditions of my credit card.,False
What's the procedure for closing my account?,False
Can I get financial advice on retirement planning?,False
How do I update my personal information like address or phone number?,False
Is there a mobile wallet feature available for my card?,False
How do I turn off push notifications from the app?,False
What should I do if my card is about to expire?,False
