text,label
Can I use this app to exchange currencies?,app_action_query
Does the app allow me to transfer funds internationally?,app_action_query
Is it possible to view my transaction history through the app?,app_action_query
Can I set up payment reminders within the application?,app_action_query
Does this app support biometric login?,app_action_query
Am I able to block my card using the app?,app_action_query
Can I open a new savings account via the app?,app_action_query
Does the app provide real-time exchange rates?,app_action_query
Is there a feature to categorize my spending?,app_action_query
Can I chat with customer support directly in the app?,app_action_query
Does the app allow me to schedule recurring payments?,app_action_query
Is it possible to change my personal details in the app?,app_action_query
Can I view my monthly statements through this application?,app_action_query
Does the app offer a budgeting tool?,app_action_query
Am I able to apply for a loan using this app?,app_action_query
Can I link external bank accounts to this app?,app_action_query
Does the app have a dark mode option?,app_action_query
Is it possible to receive push notifications for transactions?,app_action_query
Can I freeze my debit card via the app?,app_action_query
Does the application support multiple languages?,app_action_query
What functionalities does this app offer for managing my money?,app_action_query
Can I request a new card through the mobile application?,app_action_query
Does the app allow me to check my credit score?,app_action_query
Is it possible to invest in stocks using this platform?,app_action_query
Can I pay my utility bills directly from the app?,app_action_query
Does the app offer any security features like 2FA?,app_action_query
Am I able to view upcoming payments within the app?,app_action_query
What can I do with this application regarding my finances?,app_action_query
Does the app facilitate P2P payments?,app_action_query
Is there an option to export my transaction data from the app?,app_action_query
Can I manage my beneficiaries through the app?,app_action_query
Does the app provide spending insights?,app_action_query
Am I able to reset my password using the app?,app_action_query
Can I set up a direct debit within the app?,app_action_query
Does the application allow for setting savings goals?,app_action_query
Is it possible to report a fraudulent transaction via the app?,app_action_query
Can I order a replacement card through the app?,app_action_query
Does the app offer virtual card capabilities?,app_action_query
Am I able to view pending transactions in the application?,app_action_query
What kind of account management features does your app have?,app_action_query
Can I adjust my notification preferences in the app?,app_action_query
Does the app support QR code payments?,app_action_query
Is it possible to get a mini-statement from the app?,app_action_query
Can I register a complaint through the app?,app_action_query
Does the app provide an in-app map for ATM locations?,app_action_query
Am I able to update my contact information using the app?,app_action_query
Can I check my loyalty points balance within this app?,app_action_query
Does the app have a feature for bill splitting?,app_action_query
Is it possible to view my credit card details securely in the app?,app_action_query
Can I activate my new card using the app?,app_action_query
Does the app allow me to manage my subscription services?,app_action_query
Am I able to connect to a financial advisor through the app?,app_action_query
Can I receive payment alerts via SMS using the app?,app_action_query
Does the app support voice commands for banking actions?,app_action_query
Is there a feature to block certain merchants?,app_action_query
Can I apply for a credit limit increase through the app?,app_action_query
Does the app offer a referral program?,app_action_query
Am I able to view my tax documents in the app?,app_action_query
Can I manage my joint accounts through this application?,app_action_query
Does the app provide a financial health check feature?,app_action_query
What options are available for currency exchange within the app?,app_action_query
Is it possible to initiate a bank transfer using the mobile app?,app_action_query
Can I check my current account balance on the app?,app_action_query
Does the app allow me to set up alerts for specific transactions?,app_action_query
Am I able to use fingerprint ID to log into the app?,app_action_query
Can I manage my debit card PIN using the application?,app_action_query
Does the app offer a feature to block international transactions?,app_action_query
Is it possible to view my financial portfolio within the app?,app_action_query
Can I receive notifications for incoming payments through the app?,app_action_query
Does the app have a feature for saving up for a specific goal?,app_action_query
Am I able to generate a proof of address via the app?,app_action_query
What are the capabilities of this app regarding money transfers?,app_action_query
Does the app allow me to adjust my daily spending limits?,app_action_query
Is there a way to quickly check my account details in the app?,app_action_query
Can I switch between different accounts within the application?,app_action_query
Does the app provide any tools for tax reporting?,app_action_query
Am I able to contact support agents through a live chat in the app?,app_action_query
Can I get a detailed breakdown of my spending categories from the app?,app_action_query
Does the app offer any form of investment tracking?,app_action_query
Is it possible to enable or disable push notifications for offers?,app_action_query
Can I manage my direct debits and standing orders through the app?,app_action_query
Does the app allow me to track my rewards points?,app_action_query
Is there a feature to pause my card temporarily within the app?,app_action_query
Can I view statements for all my accounts in one place in the app?,app_action_query
Does the app support linking to third-party financial tools?,app_action_query
Am I able to change my security questions using the app?,app_action_query
What are the options for modifying account settings in the app?,app_action_query
Can I get assistance with a lost or stolen card directly from the app?,app_action_query
Does the app offer financial advice or tips?,app_action_query
Is it possible to view my transaction limit settings in the app?,app_action_query
Can I update my email address through the app?,app_action_query
Does the app provide an integrated calculator for currency conversions?,app_action_query
Am I able to view my full account number in the application?,app_action_query
What services can I access through this mobile banking app?,app_action_query
Can I enable notifications for large transactions via the app?,app_action_query
Does the app support virtual cards for online purchases?,app_action_query
Is there a feature to download a proof of payment from the app?,app_action_query
Can I receive alerts when my balance drops below a certain amount?,app_action_query
Does the app have an option to manage multiple profiles?,app_action_query
What are the key features available on this financial app?,app_action_query
