text,label
I'd like to see my latest bank statement.,account_statement_query
Can you show me my transaction history for last month?,account_statement_query
Where can I find my account activity report?,account_statement_query
What's my current account balance?,account_statement_query
I need to review my past statements.,account_statement_query
How do I access my digital bank statements?,account_statement_query
Please provide me with my recent transaction details.,account_statement_query
Could you explain the general items on my statement?,account_statement_query
I'm looking for an overview of my spending this quarter.,account_statement_query
Can I download my statements from the last six months?,account_statement_query
I want to check what transactions occurred yesterday.,account_statement_query
What's the balance on my checking account right now?,account_statement_query
Where can I view my account statement online?,account_statement_query
Show me all my card transactions from July.,account_statement_query
I need a copy of my November statement.,account_statement_query
How can I see my historical account activity?,account_statement_query
What were my last five transactions?,account_statement_query
Can you tell me my available balance?,account_statement_query
I'd like to get my electronic statement.,account_statement_query
Where do I go to view my spending history?,account_statement_query
I want to see my statement for December 2023.,account_statement_query
How do I print my transaction records?,account_statement_query
Can I view my account summary?,account_statement_query
What's the closing balance on my last statement?,account_statement_query
I need to look at my previous month's activity.,account_statement_query
Can you provide me with a list of all my debits?,account_statement_query
Show me my pending transactions.,account_statement_query
How do I retrieve an old bank statement?,account_statement_query
I'm trying to find a specific transaction from last year.,account_statement_query
What's the current status of my savings account?,account_statement_query
Please show me my most recent deposits.,account_statement_query
I want to understand the different sections of my statement.,account_statement_query
Can I get my yearly statement summary?,account_statement_query
Where are my e-statements stored?,account_statement_query
I need to check my spending habits.,account_statement_query
What's the total amount I've spent this month?,account_statement_query
Show me my direct debits and standing orders.,account_statement_query
Can you tell me my credit card balance?,account_statement_query
I want to access my full transaction log.,account_statement_query
How can I get a detailed account statement?,account_statement_query
What items are on my latest statement?,account_statement_query
Can I view my transactions in real-time?,account_statement_query
I need an explanation of my statement layout.,account_statement_query
Where can I find my account balance and activity?,account_statement_query
Show me my statements for the past two years.,account_statement_query
I want to see my account movements.,account_statement_query
How do I get a copy of my bank records?,account_statement_query
What's my most recent transaction?,account_statement_query
Can you provide a statement showing my interest earned?,account_statement_query
I need to review my account's financial history.,account_statement_query
Where do I find information about my account activity?,account_statement_query
Can I view my statement for January?,account_statement_query
Show me my card activity from the last week.,account_statement_query
How do I get my bank statement sent to me?,account_statement_query
What's the balance on my investment account?,account_statement_query
I'm looking for details of a transfer I made.,account_statement_query
Can you explain what this 'MISC' entry means?,account_statement_query
I want to see my account summary for tax purposes.,account_statement_query
How can I download a CSV of my transactions?,account_statement_query
Where can I access my past monthly statements?,account_statement_query
Please show me my credit card statement.,account_statement_query
I need to check my available funds.,account_statement_query
What's my current outstanding balance?,account_statement_query
Can you give me a breakdown of my recent spending?,account_statement_query
I want to view my account activity for March.,account_statement_query
How do I get a statement for a specific date range?,account_statement_query
Show me my most recent bank account entries.,account_statement_query
Where can I find information about my payments?,account_statement_query
I need to understand my statement's summary section.,account_statement_query
Can I see a list of my recurring payments?,account_statement_query
What's the total of my last statement?,account_statement_query
How can I view my deposits and withdrawals?,account_statement_query
I want to get a paper copy of my statement.,account_statement_query
Show me my account activity over the weekend.,account_statement_query
What's the status of my direct debits?,account_statement_query
Can you help me understand my annual statement?,account_statement_query
I'm looking for a transaction from three months ago.,account_statement_query
Where can I find my current transaction overview?,account_statement_query
How do I check my account balance quickly?,account_statement_query
I need to see what's left in my account.,account_statement_query
Can you show me my bank activity since yesterday?,account_statement_query
What's on my current monthly statement?,account_statement_query
I want to review my account for any new entries.,account_statement_query
How do I get my statement via email?,account_statement_query
Where can I see my current account status?,account_statement_query
Can I get a summary of my spending by category?,account_statement_query
Show me my debits and credits.,account_statement_query
I need to look at my banking history.,account_statement_query
What's the closing balance of my last statement period?,account_statement_query
Can you provide me with a breakdown of my balance?,account_statement_query
I want to understand the different transaction codes.,account_statement_query
How do I access my archived statements?,account_statement_query
Show me all transactions from my linked accounts.,account_statement_query
Where can I view my pending payments?,account_statement_query
I need to know my total spend year-to-date.,account_statement_query
Can you retrieve my statement from February?,account_statement_query
What's the current state of my funds?,account_statement_query
I want to get a concise summary of my account.,account_statement_query
How can I see my historical deposits?,account_statement_query
Where can I check my current account activity?,account_statement_query
